index,accommodates,amenities,availability_30,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,latitude(North),longitude(East),maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,amenities__Wireless_Internet,amenities__Fire_Extinguisher,amenities__Laptop_Friendly_Workspace,amenities__Heating,amenities__Wheelchair_Accessible,amenities__Elevator_in_Building,amenities__Dog(s),amenities__Cat(s),amenities__Washer_/_Dryer,amenities__Smoking_Allowed,amenities__First_Aid_Kit,amenities__Pets_live_on_this_property,amenities__Pool,amenities__Lock_on_Bedroom_Door,amenities__Smoke_Detector,amenities__Shampoo,amenities__Buzzer/Wireless_Intercom,amenities__Safety_Card,amenities__Breakfast,amenities__Other_pet(s),amenities__Indoor_Fireplace,amenities__Iron,amenities__Hair_Dryer,amenities__Gym,amenities__Family/Kid_Friendly,amenities__Internet,amenities__Hot_Tub,amenities__Washer,amenities__Dryer,amenities__Pets_Allowed,amenities__24-Hour_Check-in,amenities__Cable_TV,amenities__Air_Conditioning,amenities__Hangers,amenities__Doorman,amenities__Essentials,amenities__Carbon_Monoxide_Detector,amenities__Suitable_for_Events,amenities__Free_Parking_on_Premises,amenities__TV,amenities__Kitchen,lbl_bed_type,lbl_cancellation_policy,lbl_has_availability,lbl_host_is_superhost,lbl_instant_bookable,lbl_property_type,lbl_room_type,index,price
20,2,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",0,1.0,Real Bed,1.0,1.0,1,flexible,1,t,f,1.0,f,22.71302665,114.2854392,1125,0,House,9.0,9.0,9.0,95.0,9.0,Private room,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,4,0,0,0,0,9,1,20,40.0
21,1,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",30,1.0,Real Bed,1.0,1.0,1,flexible,1,t,f,1.0,f,22.71100415,114.2808983,1125,0,House,9.0,9.0,9.0,95.0,9.0,Private room,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,4,0,0,0,0,9,1,21,150.0
22,3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",30,1.0,Real Bed,1.0,1.0,1,flexible,3,t,f,1.0,f,22.71634795,114.2896762,1125,0,House,9.0,9.0,9.0,95.0,9.0,Private room,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,4,0,0,0,0,9,1,22,175.0
23,6,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",19,1.0,Real Bed,1.0,2.0,1,moderate,4,t,f,1.0,f,22.6973968,114.3019202,30,76,House,10.0,10.0,9.0,94.0,10.0,Private room,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,4,1,0,0,0,9,1,23,50.0
24,5,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer}",27,2.5,Real Bed,4.0,4.0,1,flexible,1,t,f,1.0,f,22.71445782,114.2899319,1125,0,House,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,4,0,0,0,0,9,0,24,120.0
25,8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",0,2.0,Real Bed,3.0,3.0,1,flexible,1,t,f,1.0,f,22.67500569,114.2977102,1125,0,House,9.0,9.0,9.0,95.0,9.0,Entire home/apt,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,4,0,0,0,0,9,0,25,450.0
26,2,"{TV,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Heating,Shampoo}",19,1.5,Real Bed,1.0,2.0,2,strict,2,t,t,2.0,f,22.67462836,114.293782,28,14,House,10.0,10.0,9.0,99.0,10.0,Private room,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,3,0,2,0,9,1,26,49.0
27,2,"{TV,""Air Conditioning"",""Free Parking on Premises"",Heating,Washer,Dryer,""Fire Extinguisher""}",29,1.0,Real Bed,1.0,1.0,2,moderate,1,t,f,2.0,f,22.71696549,114.2869293,1125,8,House,9.0,8.0,9.0,83.0,9.0,Private room,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,4,1,0,0,0,9,1,27,36.0
28,2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",30,1.0,Real Bed,1.0,1.0,2,strict,1,t,f,2.0,f,22.70840329,114.2907472,1125,1,House,10.0,10.0,10.0,100.0,8.0,Private room,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,4,3,0,0,0,9,1,28,75.0
29,2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Hair Dryer""}",30,1.0,Airbed,1.0,1.0,1,flexible,1,t,f,2.0,f,22.70389784,114.325881,1125,1,House,8.0,8.0,4.0,60.0,8.0,Private room,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,9,1,29,50.0
